N,erro_max
4,0.03224782653820313
6,0.003782030752315979
8,0.00036959240752665323
12,2.8411421961749284e-06
16,1.923451264929099e-08
24,7.496225862269057e-13
32,8.881784197001252e-15
48,8.881784197001252e-15
64,1.2434497875801753e-14
96,1.2434497875801753e-14
128,3.019806626980426e-14
