rule,n,rel_error
cheb_gauss,4,0.018045138634131746
cheb_type2,4,0.02210749122299446
legendre,4,6.278312765531793e-08
cheb_gauss,8,0.00428302155642793
cheb_type2,8,0.0067118118083747055
legendre,8,1.253926085310668e-16
cheb_gauss,16,0.001058546243914622
cheb_type2,16,0.001871905126344645
legendre,16,8.673617379884035e-18
cheb_gauss,32,0.00026389833280569477
cheb_type2,32,0.0004960812800856282
legendre,32,6.071532165918825e-18
