N,||I - BL BLinv||_inf,||I - BLinv BL||_inf
4,2.1464311809419693e-16,1.6653345369377348e-16
8,4.232945563729565e-16,2.498001805406602e-16
12,5.243776258681955e-16,2.220446049250313e-16
16,5.540864880839819e-16,4.440892098500626e-16
24,6.011050182354818e-16,3.7470027081099033e-16
32,1.0646939197570257e-15,8.881784197001252e-16
40,1.0547118733938987e-15,5.204170427930421e-16
48,1.160592961403659e-15,6.661338147750939e-16
64,1.4021351867295204e-15,8.881784197001252e-16
