case,peak_abs_u,energy_rel_drift,l2_rel_change
Dirichlet (fixed ends),0.9211624267583431,0.5894101234205261,-0.29408206969328665
Neumann (free ends),0.9958053643056731,0.5970789218611888,-0.28922196704225994
