N,L2_err_d1,Linf_err_d1,L2_err_d2,Linf_err_d2
16,4.982570356264849e-15,1.199040866595169e-14,1.4791404317453767e-14,3.019806626980426e-14
32,7.052283126065163e-15,1.865174681370263e-14,9.462452152975928e-14,2.4158453015843406e-13
64,1.456098428056013e-14,4.440892098500626e-14,3.6014438025313434e-13,9.774403508799878e-13
128,2.813171895621454e-14,8.08242361927114e-14,1.417160768925992e-12,4.758859972753271e-12
256,4.277178231584984e-14,1.723066134218243e-13,3.7693926613254955e-12,1.8069101770379348e-11
512,1.167521007730209e-13,6.625811010962934e-13,2.4806450767410195e-11,9.670353406932009e-11
