x,y,R,Rprime
1.0,1.0,0.0,-3.486420383073169e-07
0.9994645874763658,0.999099081151594,-1.3510526031268455e-11,1.8034235600726326e-07
0.9978589232386035,0.9964019548514761,2.1488011370252025e-10,-3.865013430576412e-08
0.9951847266721967,0.9919254440546794,-8.251044292251208e-11,-1.9604177898908274e-08
0.9914448613738102,0.9856973628459498,2.2787638442878233e-10,5.195021472002979e-08
0.986643332084879,0.9777561862608684,-4.708455847435289e-11,-7.503235779964495e-08
0.9807852804032304,0.9681505999147131,9.558576152812748e-12,4.611239369442098e-08
0.9738769792773337,0.9569389406758967,-1.247757452915721e-11,-3.063704695851978e-08
0.9659258262890684,0.9441885419629934,2.2355450823852152e-12,2.2535111654103222e-08
0.956940335732209,0.9299749990166707,-3.1170621639375895e-12,-1.65881145762746e-08
0.9469301294951057,0.9143813706542906,4.034550471487819e-12,1.3230072563652225e-08
0.9359059267573256,0.8974973345462959,-2.751576744230988e-12,-1.100251773889617e-08
0.9238795325112866,0.879418312984194,1.8669510382096632e-12,9.360971960438856e-09
0.9108638249211757,0.8602445854944766,3.249400748472908e-12,-7.569257920122364e-09
0.8968727415326881,0.8400804035681249,2.8750335445693054e-12,6.4405370855753756e-09
0.8819212643483549,0.8190331213144085,3.0260238759183267e-12,-5.716035736096718e-09
0.8660254037844386,0.7972123541111622,-4.2579273440424e-12,4.402791437438102e-09
0.8492021815265789,0.7747291754131189,-2.0237145292867353e-12,-3.766820747136581e-09
0.8314696123025453,0.7516953598914841,1.6475709685437323e-13,3.5635246353196273e-09
0.8128466845916154,0.7282226790976816,9.316991622654314e-13,-3.0622454606028603e-09
0.7933533402912353,0.7044222539447984,1.6409096303959814e-12,2.73589264241612e-09
0.7730104533627371,0.6804039665390504,-1.1894929485833927e-12,-2.615318472648259e-09
0.7518398074789776,0.6562759323122626,1.5720758028692217e-13,2.4265202551294554e-09
0.7298640726978358,0.6321440320315806,1.9308998844280723e-12,-2.0528308536432472e-09
0.7071067811865477,0.6081115021073561,1.3318235403403378e-12,1.7977730391573527e-09
0.6835923020228714,0.5842785806857925,-8.908429549592256e-13,-1.7402789700458592e-09
0.6593458151000688,0.5607422062915626,9.5679020262196e-13,1.6463570093414615e-09
0.6343932841636455,0.5375957652621556,-8.79296635503124e-14,-1.5225177563348886e-09
0.6087614290087207,0.5149288838704305,7.278622149442526e-13,1.4150407253609414e-09
0.5824776968678022,0.49282726084204004,-2.602362769721367e-13,-1.363739981986242e-09
0.5555702330196023,0.4713725359161467,-1.3633538742396922e-12,1.2164133300110214e-09
0.528067850650368,0.4506421901475048,1.7075230118734908e-13,-1.079461865091691e-09
0.5000000000000001,0.4307094737829317,-5.697664562376303e-13,1.0166395368883574e-09
0.47139673682599753,0.4116433577447377,9.86322135076989e-13,-9.211927015716216e-10
0.44228869021900125,0.393508504999373,-1.3669065879184927e-12,7.920530652885123e-10
0.4127070298043947,0.37636525836552503,3.417266469796232e-13,-7.000925422749696e-10
0.38268343236508984,0.3602696416087795,-5.078160114635466e-13,6.429843764146322e-10
0.3522500479212336,0.34527337096884264,8.659739592076221e-14,-5.801337442679747e-10
0.32143946530316175,0.33142387456174577,3.1796787425264483e-13,5.518420706307966e-10
0.29028467725446255,0.3187643173868602,6.483702463810914e-14,-5.151906898154314e-10
0.2588190451025208,0.30733362994235947,3.2152058793144533e-13,4.777167404465396e-10
0.22707626303437348,0.29716653870994336,5.262457136723242e-14,-4.4387977824024736e-10
0.19509032201612833,0.28829359700841894,9.414691248821327e-14,4.010319552685558e-10
0.16289547339458885,0.28074121493557685,1.176836406102666e-14,-3.657916575130259e-10
0.1305261922200517,0.2745316873188875,1.0658141036401503e-14,3.3322006848614726e-10
0.09801714032956055,0.26968321877893436,5.271338920920243e-13,-2.786814478918429e-10
